episode,frame,reward,avg20_reward,loss,epsilon,episode_steps,episode_time_sec,steps_per_sec
0,15,15.0,15.0,0.0,1.0,15,0.0,1500000000.0
1,29,14.0,14.5,0.0,0.99,14,0.0,1400000000.0
2,55,26.0,18.333333333333332,0.0,0.9801,26,0.0005900859832763672,44061.37535353535
3,75,20.0,18.75,0.0,0.9702989999999999,20,0.0015971660614013672,12522.179429765636
4,91,16.0,18.2,0.0,0.96059601,16,0.0,1600000000.0
5,109,18.0,18.166666666666668,0.0,0.9509900498999999,18,0.0,1800000000.0
6,123,14.0,17.571428571428573,0.0,0.9414801494009999,14,0.000835418701171875,16758.06392694064
7,134,11.0,16.75,0.0,0.9320653479069899,11,0.0017828941345214844,6169.743781759828
8,150,16.0,16.666666666666668,0.0,0.92274469442792,16,0.0034503936767578125,4637.152017689331
9,179,29.0,17.9,0.0,0.9135172474836407,29,0.001043558120727539,27789.539867489148
10,193,14.0,17.545454545454547,0.0,0.9043820750088043,14,0.0,1400000000.0
11,206,13.0,17.166666666666668,0.0,0.8953382542587163,13,0.001306772232055664,9948.175880313811
12,220,14.0,16.923076923076923,0.0,0.8863848717161291,14,0.003802061080932617,3682.2133316611275
13,238,18.0,17.0,0.0,0.8775210229989678,18,0.0015177726745605469,11859.483506126297
14,265,27.0,17.666666666666668,0.0,0.8687458127689781,27,0.011889219284057617,2270.9649267050354
15,275,10.0,17.1875,0.0,0.8600583546412883,10,0.003084421157836914,3242.099404807915
16,290,15.0,17.058823529411764,0.0,0.8514577710948754,15,0.00526881217956543,2846.941490565184
17,306,16.0,17.0,0.0,0.8429431933839266,16,0.0,1600000000.0
18,334,28.0,17.57894736842105,0.0,0.8345137614500874,28,0.006727695465087891,4161.900630803034
19,346,12.0,17.3,0.0,0.8261686238355865,12,0.001543283462524414,7775.629229105515
20,366,20.0,17.55,0.0,0.8179069375972307,20,0.003108501434326172,6433.968400061359
21,406,40.0,18.85,0.0,0.8097278682212583,40,0.00270843505859375,14768.676056338029
22,418,12.0,18.15,0.0,0.8016305895390458,12,0.006582021713256836,1823.1480421632195
23,435,17.0,18.0,0.0,0.7936142836436553,17,0.0019154548645019531,8875.17649987553
24,449,14.0,17.9,0.0,0.7856781408072188,14,0.0030269622802734375,4625.098928796471
25,464,15.0,17.75,0.0,0.7778213593991465,15,0.004252433776855469,3527.391791881588
26,475,11.0,17.6,0.0,0.7700431458051551,11,0.005762577056884766,1908.8681836988
27,488,13.0,17.7,0.0,0.7623427143471035,13,0.0021257400512695312,6115.5172723194255
28,509,21.0,17.95,0.49363242387771605,0.7547192872036325,21,0.07937979698181152,264.5509411520891
29,523,14.0,17.2,0.4327429064682552,0.7471720943315961,14,0.05086255073547363,275.251630080672
30,533,10.0,17.0,0.3654420882463455,0.7397003733882802,10,0.03319811820983887,301.2218926624678
31,542,9.0,16.8,0.3093830479515923,0.7323033696543974,9,0.0957021713256836,94.04175344540663
32,564,22.0,17.2,0.23755894194949756,0.7249803359578534,22,0.08633875846862793,254.81024270222653
33,583,19.0,17.25,0.14579537079522484,0.7177305325982748,19,0.06656026840209961,285.45557967432495
34,595,12.0,16.5,0.0987594226996104,0.7105532272722921,12,0.04217123985290527,284.55411891745206
35,612,17.0,16.85,0.06838441990754184,0.7034476949995692,17,0.06364154815673828,267.1210945109616
36,644,32.0,17.7,0.03899422910762951,0.6964132180495735,32,0.13697099685668945,233.6261013963495
37,668,24.0,18.1,0.02210265677422285,0.6894490858690777,24,0.12950873374938965,185.31568725273794
38,678,10.0,17.2,0.01822101539000869,0.682554595010387,10,0.06639218330383301,150.62014084152995
39,689,11.0,17.15,0.016545155678283085,0.6757290490602831,11,0.10471010208129883,105.05194610028553
40,704,15.0,16.9,0.015515073016285897,0.6689717585696803,15,0.15272212028503418,98.21759920569873
41,718,14.0,15.6,0.01332195129777704,0.6622820409839835,14,0.10898208618164062,128.4614792257342
42,731,13.0,15.65,0.013377876307528753,0.6556592205741436,13,0.08533477783203125,152.3411712114439
43,745,14.0,15.5,0.012496080316070999,0.6491026283684022,14,0.1519169807434082,92.15559663897199
44,768,23.0,15.95,0.010278864783923264,0.6426116020847181,23,0.1222219467163086,188.18224237080503
45,777,9.0,15.65,0.008890260166178146,0.6361854860638709,9,0.03197741508483887,281.4486404270707
46,793,16.0,15.9,0.005743431916926056,0.6298236312032323,16,0.07054591178894043,226.8026536799024
47,811,18.0,16.15,0.005101221846416593,0.6235253948912,18,0.07362771034240723,244.47317343280972
48,829,18.0,16.0,0.004435066081997421,0.617290140942288,18,0.07189536094665527,250.3638588497468
49,843,14.0,16.0,0.003820537672644215,0.6111172395328651,14,0.0479893684387207,291.73128247930765
50,864,21.0,16.55,0.003072217461608705,0.6050060671375365,21,0.13751006126403809,152.71609805828777
51,880,16.0,16.9,0.0027964708860963583,0.5989560064661611,16,0.05742359161376953,278.63112616876754
52,891,11.0,16.35,0.0025197602279314942,0.5929664464014994,11,0.03869009017944336,284.3105288455613
53,904,13.0,16.05,0.002066772305764831,0.5870367819374844,13,0.045343875885009766,286.6980324524413
54,918,14.0,16.15,0.0015134556451812387,0.5811664141181095,14,0.0485539436340332,288.3390915786889
55,935,17.0,16.15,0.0013928152928950593,0.5753547499769285,17,0.06539297103881836,259.9667782323045
56,957,22.0,15.65,0.0009087205689866096,0.5696012024771592,22,0.1059563159942627,207.63273801621466
57,976,19.0,15.4,0.000827761382281192,0.5639051904523876,19,0.09249210357666016,205.42294169201423
58,1004,28.0,16.3,0.027898813383736915,0.5582661385478638,28,0.09741520881652832,287.42945111101864
59,1017,13.0,16.4,0.12281628984671372,0.5526834771623851,13,0.06145048141479492,211.5524516764827
60,1038,21.0,16.7,0.05468908998937834,0.5471566423907612,21,0.07713031768798828,272.26647872695577
61,1067,29.0,17.45,0.036289433980810235,0.5416850759668536,29,0.09778618812561035,296.56540004144875
62,1078,11.0,17.35,0.03354612543162974,0.536268225207185,11,0.04601550102233887,239.04988005367792
63,1094,16.0,17.45,0.02971587551292032,0.5309055429551132,16,0.06677865982055664,239.5975008033132
64,1104,10.0,16.8,0.025675524678081273,0.525596487525562,10,0.04250454902648926,235.26893542072168
65,1113,9.0,16.8,0.03296791989770201,0.5203405226503064,9,0.04378151893615723,205.56618908366144
66,1123,10.0,16.5,0.020809756498783825,0.5151371174238033,10,0.0455324649810791,219.62351487351881
67,1134,11.0,16.15,0.025991527194326573,0.5099857462495653,11,0.04518556594848633,243.44057154314538
68,1148,14.0,15.95,0.024400889474366392,0.5048858887870696,14,0.06622982025146484,211.38514262675133
69,1166,18.0,16.15,0.020809657250841457,0.4998370298991989,18,0.07276606559753418,247.36805339397057
70,1181,15.0,15.85,0.022035829226175942,0.49483865960020695,15,0.06982016563415527,214.83764559650604
71,1201,20.0,16.05,0.024171562399715185,0.4898902730042049,20,0.0842294692993164,237.446586881942
72,1213,12.0,16.1,0.02258941049998005,0.48499137027416284,12,0.07931828498840332,151.2892014969115
73,1225,12.0,16.05,0.02296109947686394,0.4801414565714212,12,0.07195115089416504,166.77982007058006
74,1234,9.0,15.8,0.025766809781392414,0.475340042005707,9,0.05820655822753906,154.6217518104663
75,1246,12.0,15.55,0.023134260593603056,0.47058664158564995,12,0.08118796348571777,147.80516082425183
76,1259,13.0,15.1,0.025238194001408722,0.4658807751697934,13,0.06762290000915527,192.24256868960023
